end1,end2,required_time,route
서울역,시청역,2,서울역-시청역
서울역,종각역,4,서울역-시청역-종각역
서울역,종로3가역,6,서울역-시청역-종각역-종로3가역
서울역,종로5가역,8,서울역-시청역-종각역-종로3가역-종로5가역
서울역,동대문역,10,서울역-시청역-종각역-종로3가역-종로5가역-동대문역
서울역,신설동역,14,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역
서울역,제기동역,16,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-제기동역
서울역,청량리역,18,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-제기동역-청량리역
서울역,동묘앞역,12,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역
서울역,까치산역,37,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-도림천역-양천구청역-신정네거리역-까치산역
서울역,시청역,2,서울역-시청역
서울역,하남시청역,88,서울역-남영역-용산역-노량진역-대방역-신길역-여의도역-여의나루역-마포역-공덕역-애오개역-충정로역-서대문역-광화문역-종로3가역-을지로4가역-동대문역사문화공원역-청구역-신금호역-행당역-왕십리역-마장역-답십리역-장한평역-군자역-아차산역-광나루역-천호역-강동역-길동역-굽은다리역-명일역-고덕역-상일동역-강일역-미사역-하남풍산역-하남시청역
서울역,하남검단산역,91,서울역-남영역-용산역-노량진역-대방역-신길역-여의도역-여의나루역-마포역-공덕역-애오개역-충정로역-서대문역-광화문역-종로3가역-을지로4가역-동대문역사문화공원역-청구역-신금호역-행당역-왕십리역-마장역-답십리역-장한평역-군자역-아차산역-광나루역-천호역-강동역-길동역-굽은다리역-명일역-고덕역-상일동역-강일역-미사역-하남풍산역-하남시청역-하남검단산역
서울역,고속터미널역,25,서울역-남영역-용산역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역
서울역,내방역,42,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-신대방삼거리역-장승배기역-상도역-숭실대입구역-남성역-이수역-내방역
서울역,이수역,40,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-신대방삼거리역-장승배기역-상도역-숭실대입구역-남성역-이수역
서울역,남성역,38,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-신대방삼거리역-장승배기역-상도역-숭실대입구역-남성역
서울역,숭실대입구역,35,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-신대방삼거리역-장승배기역-상도역-숭실대입구역
서울역,상도역,33,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-신대방삼거리역-장승배기역-상도역
서울역,춘의역,49,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-구로역-가산디지털단지역-철산역-광명사거리역-천왕역-온수역-까치울역-부천종합운동장역-춘의역
서울역,신중동역,51,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-구로역-가산디지털단지역-철산역-광명사거리역-천왕역-온수역-까치울역-부천종합운동장역-춘의역-신중동역
서울역,모란역,68,서울역-남영역-용산역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-선릉역-한티역-도곡역-구룡역-개포동역-대모산입구역-수서역-복정역-가천대역-태평역-모란역
서울역,선정릉역,31,서울역-남영역-용산역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역
서울역,을지로입구역,11,서울역-시청역-을지로입구역
서울역,을지로3가역,13,서울역-시청역-종각역-종로3가역-을지로3가역
서울역,을지로4가역,14,서울역-시청역-을지로입구역-을지로3가역-을지로4가역
서울역,동대문역사문화공원역,7,서울역-회현역-명동역-충무로역-동대문역사문화공원역
서울역,신당역,16,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신당역
서울역,상왕십리역,20,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역
서울역,상왕십리역,21,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역
서울역,한양대역,23,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역
서울역,뚝섬역,25,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역-뚝섬역
서울역,성수역,32,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-용두역-신답역-용답역-성수역
서울역,건대입구역,29,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역-뚝섬역-성수역-건대입구역
서울역,구의역,32,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역-뚝섬역-성수역-건대입구역-구의역
서울역,강변역,33,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역-뚝섬역-성수역-건대입구역-구의역-강변역
서울역,잠실나루역,36,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역-뚝섬역-성수역-건대입구역-구의역-강변역-잠실나루역
서울역,잠실나루역,38,서울역-시청역-을지로입구역-을지로3가역-을지로4가역-동대문역사문화공원역-신당역-상왕십리역-왕십리역-한양대역-뚝섬역-성수역-건대입구역-구의역-강변역-잠실나루역
서울역,삼성역,45,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-강남역-역삼역-선릉역-삼성역
서울역,강일역,81,서울역-남영역-용산역-노량진역-대방역-신길역-여의도역-여의나루역-마포역-공덕역-애오개역-충정로역-서대문역-광화문역-종로3가역-을지로4가역-동대문역사문화공원역-청구역-신금호역-행당역-왕십리역-마장역-답십리역-장한평역-군자역-아차산역-광나루역-천호역-강동역-길동역-굽은다리역-명일역-고덕역-상일동역-강일역
서울역,역삼역,40,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-강남역-역삼역
서울역,강남역,35,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-논현역-신논현역-강남역
서울역,교대역,33,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역
서울역,방배역,42,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역-신대방역-신림역-봉천역-서울대입구역-낙성대역-사당역-방배역
서울역,사당역,39,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역-신대방역-신림역-봉천역-서울대입구역-낙성대역-사당역
서울역,낙성대역,36,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역-신대방역-신림역-봉천역-서울대입구역-낙성대역
서울역,서울대입구역,34,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역-신대방역-신림역-봉천역-서울대입구역
서울역,봉천역,33,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역-신대방역-신림역-봉천역
서울역,신림역,29,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-보라매공원역-보라매병원역-당곡역-신림역
서울역,신대방역,28,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역-신대방역
서울역,구로디지털단지역,26,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역-구로디지털단지역
서울역,대림역,24,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-대림역
서울역,신도림역,17,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역
서울역,문래역,25,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-문래역
서울역,영등포구청역,27,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-문래역-영등포구청역
서울역,당산역,24,서울역-남영역-용산역-노량진역-샛강역-여의도역-국회의사당역-당산역
서울역,합정역,19,서울역-시청역-충정로역-아현역-이대역-신촌역-홍대입구역-합정역
서울역,신촌역,14,서울역-시청역-충정로역-아현역-이대역-신촌역
서울역,이대역,13,서울역-시청역-충정로역-아현역-이대역
서울역,아현역,11,서울역-시청역-충정로역-아현역
서울역,충정로역,9,서울역-시청역-충정로역
서울역,용답역,28,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-용두역-신답역-용답역
서울역,신답역,26,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-용두역-신답역
서울역,신설동역,14,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역
서울역,도림천역,27,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-도림천역
서울역,양천구청역,30,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-도림천역-양천구청역
서울역,신정네거리역,34,서울역-남영역-용산역-노량진역-대방역-신길역-영등포역-신도림역-도림천역-양천구청역-신정네거리역
서울역,용두역,24,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-용두역
서울역,지축역,35,서울역-시청역-종각역-종로3가역-안국역-경복궁역-독립문역-무악재역-홍제역-녹번역-불광역-연신내역-구파발역-지축역
서울역,구파발역,31,서울역-시청역-종각역-종로3가역-안국역-경복궁역-독립문역-무악재역-홍제역-녹번역-불광역-연신내역-구파발역
서울역,연신내역,29,서울역-시청역-종각역-종로3가역-안국역-경복궁역-독립문역-무악재역-홍제역-녹번역-불광역-연신내역
서울역,종로3가역,6,서울역-시청역-종각역-종로3가역
서울역,을지로3가역,13,서울역-시청역-종각역-종로3가역-을지로3가역
서울역,충무로역,4,서울역-회현역-명동역-충무로역
서울역,동대입구역,17,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역
서울역,약수역,19,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신당역-청구역-약수역
서울역,금호역,20,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역
서울역,옥수역,21,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역
서울역,압구정역,24,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역
서울역,신사역,26,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역
서울역,잠원역,28,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역
서울역,고속터미널역,25,서울역-남영역-용산역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역
서울역,교대역,33,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역
서울역,남부터미널역,35,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역
서울역,양재역,37,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역
서울역,매봉역,40,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역
서울역,도곡역,42,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역
서울역,언주역,36,서울역-남영역-용산역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역
서울역,학여울역,45,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역-대치역-학여울역
서울역,대청역,47,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역-대치역-학여울역-대청역
서울역,일원역,49,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역-대치역-학여울역-대청역-일원역
서울역,수서역,51,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역-대치역-학여울역-대청역-일원역-수서역
서울역,가락시장역,53,서울역-남영역-용산역-노량진역-노들역-흑석역-동작역-구반포역-신반포역-고속터미널역-사평역-신논현역-언주역-선정릉역-삼성중앙역-봉은사역-종합운동장역-삼전역-석촌고분역-석촌역-송파역-가락시장역
서울역,경찰병원역,55,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역-대치역-학여울역-대청역-일원역-수서역-가락시장역-경찰병원역
서울역,오금역,57,서울역-시청역-종각역-종로3가역-을지로3가역-충무로역-동대입구역-약수역-금호역-옥수역-압구정역-신사역-잠원역-고속터미널역-교대역-남부터미널역-양재역-매봉역-도곡역-대치역-학여울역-대청역-일원역-수서역-가락시장역-경찰병원역-오금역
서울역,당고개역,36,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역-미아역-수유역-쌍문역-창동역-노원역-상계역-당고개역
서울역,상계역,33,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역-미아역-수유역-쌍문역-창동역-노원역-상계역
서울역,노원역,31,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역-미아역-수유역-쌍문역-창동역-노원역
서울역,창동역,37,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-제기동역-청량리역-회기역-외대앞역-신이문역-석계역-광운대역-월계역-녹천역-창동역
서울역,쌍문역,27,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역-미아역-수유역-쌍문역
서울역,수유역,24,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역-미아역-수유역
서울역,미아사거리역,22,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역
서울역,미아사거리역,20,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역-미아사거리역
서울역,길음역,17,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역-성신여대입구역-길음역
서울역,신대방삼거리역,29,서울역-남영역-용산역-노량진역-대방역-서울지방병무청역-보라매역-신대방삼거리역
서울역,성신여대입구역,21,서울역-시청역-종각역-종로3가역-종로5가역-동대문역-동묘앞역-신설동역-보문역-성신여대입구역
서울역,한성대입구역,13,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역-한성대입구역
서울역,혜화역,11,서울역-회현역-명동역-충무로역-동대문역사문화공원역-동대문역-혜화역
서울역,동대문역,10,서울역-시청역-종각역-종로3가역-종로5가역-동대문역
서울역,동대문역사문화공원역,7,서울역-회현역-명동역-충무로역-동대문역사문화공원역
서울역,충무로역,4,서울역-회현역-명동역-충무로역
서울역,명동역,3,서울역-회현역-명동역
서울역,회현역,1,서울역-회현역
