id,line,longitude,latitude,name
907,9호선,126.8544334,37.5614693,가양
20214,인천2호선,126.6730298,37.592865,완정
908,9호선,126.8606034,37.5581446,증미
20213,인천2호선,126.6671363,37.5977134,마전
909,9호선,126.8655511,37.5507112,등촌
20212,인천2호선,126.6566189,37.6017177,검단사거리
20211,인천2호선,126.642479,37.5951339,왕길
20210,인천2호선,126.6280074,37.5948489,검단오류
20219,인천2호선,126.6768373,37.5439103,서구청
20218,인천2호선,126.677103,37.5513036,아시아드경기장
20217,인천2호선,126.677519,37.5611734,검바위
20216,인천2호선,126.6756595,37.5687033,검암
20215,인천2호선,126.6759863,37.5849123,독정
910,9호선,126.8748564,37.5469769,염창
911,9호선,126.8830837,37.5443618,신목동
912,9호선,126.8939268,37.5378654,선유도
913,9호선,126.9026457,37.5335448,당산
914,9호선,126.9177648,37.5282423,국회의사당
915,9호선,126.9240343,37.5217637,여의도
916,9호선,126.9288896,37.5167454,샛강
917,9호선,126.9410644,37.5135814,노량진
918,9호선,126.9532132,37.5126946,노들
20225,인천2호선,126.6838328,37.4841058,가재울
919,9호선,126.9633951,37.5091825,흑석
20224,인천2호선,126.6752463,37.4900531,인천가좌
20223,인천2호선,126.6758569,37.5003027,서부여성회관
20222,인천2호선,126.6762655,37.5071618,석남
20221,인천2호선,126.6768155,37.5174714,가정중앙시장
20220,인천2호선,126.6753548,37.524725,가정
20229,인천2호선,126.6921913,37.4576958,석바위시장
20228,인천2호선,126.6810909,37.4583909,시민공원
20227,인천2호선,126.6791041,37.4654372,주안
20226,인천2호선,126.6812163,37.4739745,주안국가산단
11515,김포골드라인,126.6838489,37.6538667,운양
11514,김포골드라인,126.6691099,37.6441705,장기
11517,김포골드라인,126.7198386,37.6203107,사우
11516,김포골드라인,126.7057322,37.6316502,걸포북변
11519,김포골드라인,126.7702144,37.6013994,고촌
11518,김포골드라인,126.7326928,37.6122941,풍무
920,9호선,126.9777743,37.5031333,동작
921,9호선,126.9874422,37.5014384,구반포
922,9호선,126.9960331,37.5034962,신반포
923,9호선,127.0043179,37.5060026,고속터미널
924,9호선,127.0150731,37.5043808,사평
925,9호선,127.0245209,37.5044636,신논현
11511,김포골드라인,126.6148276,37.6416449,양촌
926,9호선,127.0339087,37.5073234,언주
927,9호선,127.043412,37.5101377,선정릉
11513,김포골드라인,126.6445072,37.6408135,마산
928,9호선,127.0529321,37.5129462,삼성중앙
11512,김포골드라인,126.6287076,37.6453969,구래
929,9호선,127.0602304,37.5142495,봉은사
930,9호선,127.0764306,37.5113717,종합운동장
810,8호선,127.127537,37.5501577,암사
931,9호선,127.087432,37.5044913,삼전
811,8호선,127.123252,37.5380164,천호
932,9호선,127.0970008,37.5024736,석촌고분
812,8호선,127.1205474,37.5305204,강동구청
933,9호선,127.1072226,37.5051892,석촌
813,8호선,127.1127749,37.5176625,몽촌토성
934,9호선,127.1122348,37.5102974,송파나루
814,8호선,127.1046659,37.5147742,잠실
935,9호선,127.1162476,37.5164209,한성백제
815,8호선,127.1066681,37.5057994,석촌
936,9호선,127.1303441,37.5162427,올림픽공원
11720,신림선,126.9338921,37.472059,서울대벤처타운
816,8호선,127.1122763,37.4996787,송파
937,9호선,127.1387274,37.5192709,둔촌오륜
817,8호선,127.1183096,37.4929616,가락시장
938,9호선,127.1485418,37.5288331,중앙보훈병원
818,8호선,127.122474,37.4859725,문정
11721,신림선,126.9451491,37.468935,관악산
819,8호선,127.1261965,37.4786789,장지
820,8호선,127.1267775,37.4712088,복정
821,8호선,127.1500271,37.457001,산성
822,8호선,127.1598367,37.4515477,남한산성입구
823,8호선,127.156872,37.445188,단대오거리
824,8호선,127.1475088,37.4409557,신흥
825,8호선,127.1403863,37.4372518,수진
826,8호선,127.1302584,37.4339563,모란
709,7호선,127.0531004,37.7002605,장암
710,7호선,127.0464866,37.6895103,도봉산
831,8호선,127.1390639,37.4628563,남위례
711,7호선,127.055316,37.6778581,수락산
712,7호선,127.0576351,37.6653828,마들
713,7호선,127.0605231,37.6546928,노원
714,7호선,127.0641099,37.645112,중계
715,7호선,127.0679542,37.6365682,하계
716,7호선,127.0729311,37.625768,공릉
717,7호선,127.075356,37.6184825,태릉입구
718,7호선,127.0777293,37.6107885,먹골
719,7호선,127.0793076,37.6025816,중화
1394,경의중앙선,127.4738037,37.5061295,오빈
1390,경의중앙선,127.0850533,37.5968152,상봉
11713,신림선,126.9225941,37.505772,서울지방병무청
11712,신림선,126.9252411,37.5127,대방
11715,신림선,126.9182601,37.495396,보라매공원
11714,신림선,126.9204371,37.500408,보라매
11717,신림선,126.9275591,37.490253,당곡
720,7호선,127.0856711,37.5959203,상봉
11716,신림선,126.9238121,37.49297,보라매병원
721,7호선,127.0875071,37.5887804,면목
11719,신림선,126.9331461,37.478229,서원
722,7호선,127.0885223,37.5809731,사가정
11718,신림선,126.9296521,37.484736,신림
723,7호선,127.0868462,37.573796,용마산
724,7호선,127.0840955,37.5655455,중곡
725,7호선,127.0795404,37.5572264,군자
726,7호선,127.074609,37.5479134,어린이대공원
727,7호선,127.0710966,37.5408717,건대입구
728,7호선,127.0667058,37.531551,뚝섬유원지
729,7호선,127.053925,37.5194891,청담
11711,신림선,126.9292931,37.517136,샛강
730,7호선,127.0412886,37.5171878,강남구청
610,6호선,126.9156008,37.5984852,응암
731,7호선,127.0316189,37.5142512,학동
611,6호선,126.9227908,37.6061227,역촌
732,7호선,127.0213562,37.5111354,논현
612,6호선,126.9296543,37.6110424,불광
733,7호선,127.0117412,37.5082214,반포
613,6호선,126.9330601,37.6183908,독바위
734,7호선,127.0045239,37.5034708,고속터미널
614,6호선,126.9204314,37.6185586,연신내
735,7호선,126.9935034,37.4876246,내방
615,6호선,126.9173219,37.6113864,구산
736,7호선,126.9820675,37.4853856,이수
616,6호선,126.9136065,37.5910546,새절
737,7호선,126.9710516,37.4847491,남성
617,6호선,126.9096966,37.5839486,증산
738,7호선,126.9539906,37.4958606,숭실대입구
618,6호선,126.9012173,37.5764222,디지털미디어시티
739,7호선,126.9482164,37.5025521,상도
619,6호선,126.899273,37.569657,월드컵경기장
1175,1호선,126.8847911,37.4164812,광명
740,7호선,126.9389885,37.5048284,장승배기
620,6호선,126.903444,37.5634062,마포구청
741,7호선,126.9281967,37.4997369,신대방삼거리
621,6호선,126.9101054,37.5560681,망원
742,7호선,126.9199165,37.4999564,보라매
622,6호선,126.9135421,37.5492319,합정
743,7호선,126.9096316,37.5001373,신풍
623,6호선,126.9223054,37.5477659,상수
744,7호선,126.8967199,37.4928412,대림
